Tanggal;Tavg;RH_avg;RR;ss;ff_avg;DDD_CAR;lat;long;elevation
20-02-2023;27,5;83;0,5;4,3;1;C ;-6.155559;106.84;4
21-02-2023;28;77;10;6,5;1;C ;-6.155559;106.84;4
22-02-2023;27,3;84;29,7;3;1;C ;-6.155559;106.84;4
23-02-2023;26,9;87;21,5;3,2;1;C ;-6.155559;106.84;4
24-02-2023;25,8;94;76,9;3,6;1;C ;-6.155559;106.84;4
25-02-2023;27;86;74,1;0;2;W ;-6.155559;106.84;4
26-02-2023;26,7;88;36,7;0,4;1;C ;-6.155559;106.84;4
27-02-2023;27,1;84;38,9;0,5;1;C ;-6.155559;106.84;4
28-02-2023;27;84;20,3;1,5;1;C ;-6.155559;106.84;4
01-03-2023;26,7;88;12,7;1;1;C ;-6.155559;106.84;4
02-03-2023;25,1;92;79,5;0,5;0;C ;-6.155559;106.84;4
03-03-2023;27;84;3,8;0;1;C ;-6.155559;106.84;4
04-03-2023;26,8;81;42,5;2,2;1;C ;-6.155559;106.84;4
05-03-2023;26,6;87;2,2;2;0;C ;-6.155559;106.84;4
06-03-2023;28,3;71;2,3;2,4;2;C ;-6.155559;106.84;4
07-03-2023;27,7;76;8888;5,2;1;C ;-6.155559;106.84;4
08-03-2023;26,5;88;4;8;1;C ;-6.155559;106.84;4
09-03-2023;27,1;83;9,5;0,5;1;C ;-6.155559;106.84;4
10-03-2023;27,8;81;10;6,1;1;C ;-6.155559;106.84;4
11-03-2023;28,5;77;8888;8,4;1;C ;-6.155559;106.84;4
12-03-2023;28,4;80;0;8;1;C ;-6.155559;106.84;4
13-03-2023;28,4;72;;2,6;2;C ;-6.155559;106.84;4
14-03-2023;27,2;82;;7,6;1;C ;-6.155559;106.84;4
15-03-2023;25,5;90;11;0;1;C ;-6.155559;106.84;4
16-03-2023;27,4;82;2,4;0;1;C ;-6.155559;106.84;4
17-03-2023;28,6;75;;8;2;C ;-6.155559;106.84;4
18-03-2023;28,3;78;;9,1;1;C ;-6.155559;106.84;4
19-03-2023;28,7;81;0;8;2;C ;-6.155559;106.84;4
20-03-2023;28,7;75;0;6;1;C ;-6.155559;106.84;4
21-03-2023;29,2;69;8888;7,6;0;C ;-6.155559;106.84;4
22-03-2023;29,1;76;8888;7;0;C ;-6.155559;106.84;4
23-03-2023;29,3;76;8888;6,7;1;C ;-6.155559;106.84;4
24-03-2023;29,3;78;0;7;1;C ;-6.155559;106.84;4
25-03-2023;27,9;83;;5;1;C ;-6.155559;106.84;4
26-03-2023;26,8;88;48,7;3;1;C ;-6.155559;106.84;4
27-03-2023;27,4;84;8888;6,5;1;C ;-6.155559;106.84;4
28-03-2023;27,3;86;4,2;3;0;C ;-6.155559;106.84;4
29-03-2023;27,5;79;;0;1;C ;-6.155559;106.84;4
30-03-2023;26,3;92;;;0;C ;-6.155559;106.84;4
31-03-2023;28,8;70;3,2;4;2;C ;-6.155559;106.84;4
01-04-2023;28,1;74;0;3;2;W ;-6.155559;106.84;4
02-04-2023;28,8;76;1,2;0,3;1;C ;-6.155559;106.84;4
03-04-2023;28,1;74;;6,9;1;C ;-6.155559;106.84;4
04-04-2023;28,7;72;18,4;6,7;1;C ;-6.155559;106.84;4
05-04-2023;29;69;;3,2;1;C ;-6.155559;106.84;4
06-04-2023;30,3;56;0;9,2;1;C ;-6.155559;106.84;4
07-04-2023;28,7;69;0;5,6;1;C ;-6.155559;106.84;4
08-04-2023;28,9;74;0;8;1;C ;-6.155559;106.84;4
09-04-2023;;;8888;7,6;2;NW;-6.155559;106.84;4
10-04-2023;29,1;70;;5;2;NW;-6.155559;106.84;4
11-04-2023;28,9;75;3;2,9;3;W ;-6.155559;106.84;4
12-04-2023;29,6;66;8888;5,2;2;NW;-6.155559;106.84;4
13-04-2023;29,4;73;0;5,5;1;C ;-6.155559;106.84;4
14-04-2023;28,3;79;0;3,4;2;C ;-6.155559;106.84;4
15-04-2023;28,3;81;66,6;5,8;1;C ;-6.155559;106.84;4
16-04-2023;28,9;80;2;6,8;1;C ;-6.155559;106.84;4
17-04-2023;29,3;76;12;5,5;1;C ;-6.155559;106.84;4
18-04-2023;29,1;81;13,2;7,2;1;C ;-6.155559;106.84;4
19-04-2023;29,7;79;1,2;4,8;1;C ;-6.155559;106.84;4
20-04-2023;28,9;80;29,5;7,6;0;C ;-6.155559;106.84;4
21-04-2023;29,2;81;5,8;3,7;1;C ;-6.155559;106.84;4
22-04-2023;29,6;76;;6,4;1;C ;-6.155559;106.84;4
23-04-2023;29,8;76;;7;1;C ;-6.155559;106.84;4
24-04-2023;29,5;79;3,6;7;1;C ;-6.155559;106.84;4
25-04-2023;28,5;81;9,7;7,5;0;C ;-6.155559;106.84;4
26-04-2023;28,7;80;;3,2;1;C ;-6.155559;106.84;4
27-04-2023;29,6;79;1,3;7,4;1;C ;-6.155559;106.84;4
28-04-2023;29,4;79;0;5,8;1;C ;-6.155559;106.84;4
29-04-2023;28,6;83;0;4,7;1;C ;-6.155559;106.84;4
30-04-2023;29,6;76;;3;1;C ;-6.155559;106.84;4
01-05-2023;28,8;80;0;4,8;0;C ;-6.155559;106.84;4
02-05-2023;29;84;0;1,4;1;C ;-6.155559;106.84;4
03-05-2023;29,8;79;0,5;3;1;C ;-6.155559;106.84;4
04-05-2023;29,4;79;2,5;3,8;1;C ;-6.155559;106.84;4
05-05-2023;29,2;80;;6,6;1;C ;-6.155559;106.84;4
06-05-2023;28,8;82;18,1;3,9;0;C ;-6.155559;106.84;4
07-05-2023;28,5;83;;3,4;1;C ;-6.155559;106.84;4
08-05-2023;28,7;78;45,5;4,7;1;C ;-6.155559;106.84;4
09-05-2023;30,4;75;;3;1;C ;-6.155559;106.84;4
10-05-2023;30,3;76;0;3,6;1;C ;-6.155559;106.84;4
11-05-2023;29,2;80;0;6,2;1;C ;-6.155559;106.84;4
12-05-2023;30,8;72;;1,3;1;C ;-6.155559;106.84;4
13-05-2023;29;82;;7;1;C ;-6.155559;106.84;4
14-05-2023;29,5;69;20;6,5;1;C ;-6.155559;106.84;4
15-05-2023;28,7;72;0;6;1;C ;-6.155559;106.84;4
16-05-2023;29,7;70;0;6,6;0;C ;-6.155559;106.84;4
17-05-2023;29,6;71;0;7,5;1;C ;-6.155559;106.84;4
18-05-2023;29,2;73;0;6,2;0;C ;-6.155559;106.84;4
19-05-2023;29,6;74;0;0;1;C ;-6.155559;106.84;4
20-05-2023;29,4;76;0;3,3;1;C ;-6.155559;106.84;4
21-05-2023;29,6;79;;2,5;1;C ;-6.155559;106.84;4
22-05-2023;29,1;78;1,8;6;0;C ;-6.155559;106.84;4
23-05-2023;29,3;75;;5,3;1;C ;-6.155559;106.84;4
24-05-2023;29,4;73;;4,2;1;C ;-6.155559;106.84;4
25-05-2023;29,4;72;;2;1;C ;-6.155559;106.84;4
26-05-2023;30,1;72;0;5,2;1;C ;-6.155559;106.84;4
27-05-2023;29,5;76;;4,4;1;C ;-6.155559;106.84;4
28-05-2023;28,7;80;17,8;2,5;1;C ;-6.155559;106.84;4
29-05-2023;29,9;75;;2,5;1;C ;-6.155559;106.84;4
30-05-2023;29,6;75;0;3,7;1;C ;-6.155559;106.84;4
31-05-2023;29,8;73;0;4;0;C ;-6.155559;106.84;4
01-06-2023;29,3;74;;5;1;C ;-6.155559;106.84;4
02-06-2023;29,9;73;;6,5;1;C ;-6.155559;106.84;4
03-06-2023;30,2;72;0;5,7;1;C ;-6.155559;106.84;4
04-06-2023;29,5;75;0;6,2;1;C ;-6.155559;106.84;4
05-06-2023;29,6;74;;4;1;C ;-6.155559;106.84;4
06-06-2023;27,8;82;0,3;4,4;0;C ;-6.155559;106.84;4
07-06-2023;29,8;72;1,7;0;1;C ;-6.155559;106.84;4
08-06-2023;29,9;75;0;4;1;C ;-6.155559;106.84;4
09-06-2023;29,2;73;0;3,5;1;C ;-6.155559;106.84;4
10-06-2023;29,5;75;0;5,2;1;C ;-6.155559;106.84;4
11-06-2023;29,1;73;0;4;1;C ;-6.155559;106.84;4
12-06-2023;30,1;72;0;5,6;1;C ;-6.155559;106.84;4
13-06-2023;30,1;74;0;3,4;1;C ;-6.155559;106.84;4
14-06-2023;29,7;75;;2,5;0;C ;-6.155559;106.84;4
15-06-2023;29,5;74;0;2,4;1;C ;-6.155559;106.84;4
16-06-2023;26,2;94;0;2;0;C ;-6.155559;106.84;4
17-06-2023;27,9;81;29,3;0;1;C ;-6.155559;106.84;4
18-06-2023;28,7;80;0;1,5;1;C ;-6.155559;106.84;4
19-06-2023;27,4;88;0;2,3;1;C ;-6.155559;106.84;4
20-06-2023;28,6;78;26,9;0,2;1;C ;-6.155559;106.84;4
21-06-2023;29,5;77;0;3,3;1;C ;-6.155559;106.84;4
22-06-2023;29,2;78;2,5;3,9;1;C ;-6.155559;106.84;4
23-06-2023;29,4;77;1;3,7;2;C ;-6.155559;106.84;4
24-06-2023;28,6;79;0;3,6;1;C ;-6.155559;106.84;4
25-06-2023;28,7;81;31,4;4,2;1;C ;-6.155559;106.84;4
26-06-2023;28,5;75;3,5;2,6;1;C ;-6.155559;106.84;4
27-06-2023;28,8;76;0;3,7;1;C ;-6.155559;106.84;4
28-06-2023;29,1;68;0;4;1;C ;-6.155559;106.84;4
29-06-2023;28,7;77;30,6;4,2;1;C ;-6.155559;106.84;4
30-06-2023;29,1;76;0;3,5;2;C ;-6.155559;106.84;4
01-07-2023;29,2;78;0;4,8;1;C ;-6.155559;106.84;4
02-07-2023;29,3;75;0;2,7;1;C ;-6.155559;106.84;4
03-07-2023;29,1;74;0;;1;C ;-6.155559;106.84;4
04-07-2023;28,7;74;0;3,5;0;C ;-6.155559;106.84;4
05-07-2023;29,3;73;0;5,5;1;C ;-6.155559;106.84;4
06-07-2023;27,8;82;1,6;6;0;C ;-6.155559;106.84;4
07-07-2023;28,2;78;2,5;1,5;0;C ;-6.155559;106.84;4
08-07-2023;28,1;80;1,2;1,2;1;C ;-6.155559;106.84;4
09-07-2023;28,5;76;0;2,4;2;S ;-6.155559;106.84;4
10-07-2023;29,3;73;0;4,5;1;C ;-6.155559;106.84;4
11-07-2023;29,1;72;0;3,4;1;C ;-6.155559;106.84;4
12-07-2023;29,1;76;;6,6;1;C ;-6.155559;106.84;4
13-07-2023;28,9;72;0;6,3;1;C ;-6.155559;106.84;4
14-07-2023;29;72;;4,5;1;C ;-6.155559;106.84;4
15-07-2023;28,9;73;0;4;2;C ;-6.155559;106.84;4
16-07-2023;28,9;74;0;5;1;C ;-6.155559;106.84;4
17-07-2023;29,3;68;0;5,6;1;C ;-6.155559;106.84;4
18-07-2023;28,8;67;0;5;1;C ;-6.155559;106.84;4
19-07-2023;29,5;59;;6,6;1;C ;-6.155559;106.84;4
20-07-2023;27,9;61;0;6,8;1;C ;-6.155559;106.84;4
21-07-2023;28,8;67;0;6,6;1;C ;-6.155559;106.84;4
22-07-2023;29,1;70;0;4;1;C ;-6.155559;106.84;4
23-07-2023;29;68;0;6;1;C ;-6.155559;106.84;4
24-07-2023;28,8;76;0;6,8;1;C ;-6.155559;106.84;4
25-07-2023;28;78;8888;2,7;0;C ;-6.155559;106.84;4
26-07-2023;28;74;0;3,3;1;C ;-6.155559;106.84;4
27-07-2023;29;72;;1,5;1;C ;-6.155559;106.84;4
28-07-2023;28,9;68;;1;1;C ;-6.155559;106.84;4
29-07-2023;28,6;67;0;6,3;2;E ;-6.155559;106.84;4
30-07-2023;28,5;66;0;6;2;C ;-6.155559;106.84;4
31-07-2023;28,2;65;;4,8;1;C ;-6.155559;106.84;4
01-08-2023;28,7;68;;6;2;E ;-6.155559;106.84;4
02-08-2023;29,4;72;0;7;2;S ;-6.155559;106.84;4
03-08-2023;29,4;75;0;0,7;1;C ;-6.155559;106.84;4
04-08-2023;29,6;74;0;3,5;1;C ;-6.155559;106.84;4
05-08-2023;29,4;71;;6,5;1;C ;-6.155559;106.84;4
06-08-2023;28,8;73;0;6,8;2;C ;-6.155559;106.84;4
07-08-2023;28,8;76;0;7;1;C ;-6.155559;106.84;4
08-08-2023;29;77;;5,2;2;C ;-6.155559;106.84;4
09-08-2023;28,7;75;0;7;0;C ;-6.155559;106.84;4
10-08-2023;28,3;76;0;7,2;1;C ;-6.155559;106.84;4
11-08-2023;28,6;74;0;6,7;2;C ;-6.155559;106.84;4
12-08-2023;28,8;66;;5;1;C ;-6.155559;106.84;4
13-08-2023;28,2;70;0;7;1;C ;-6.155559;106.84;4
14-08-2023;28,4;72;0;6,7;2;C ;-6.155559;106.84;4
15-08-2023;28,4;74;0;7;1;C ;-6.155559;106.84;4
16-08-2023;28,8;72;;7;1;C ;-6.155559;106.84;4
17-08-2023;28,2;70;;5,5;1;C ;-6.155559;106.84;4
18-08-2023;28,2;71;0;7,2;2;C ;-6.155559;106.84;4
19-08-2023;28,9;71;0;6,8;2;C ;-6.155559;106.84;4
20-08-2023;29,4;72;;7;1;C ;-6.155559;106.84;4
21-08-2023;29,2;68;0;6,8;1;C ;-6.155559;106.84;4
22-08-2023;28,8;70;0;4,5;2;C ;-6.155559;106.84;4
23-08-2023;29;68;0;4,5;2;C ;-6.155559;106.84;4
24-08-2023;29,2;70;0;5,5;1;C ;-6.155559;106.84;4
25-08-2023;28,8;74;;7,2;1;C ;-6.155559;106.84;4
26-08-2023;29,1;74;0;7,4;1;C ;-6.155559;106.84;4
27-08-2023;29;76;0;4,5;1;C ;-6.155559;106.84;4
28-08-2023;28,7;71;1,8;5;1;C ;-6.155559;106.84;4
29-08-2023;28,7;71;;5;0;C ;-6.155559;106.84;4
30-08-2023;28,5;72;0;7,5;2;C ;-6.155559;106.84;4
31-08-2023;28,2;73;0;7,5;1;C ;-6.155559;106.84;4
01-09-2023;28;72;;7;1;C ;-6.155559;106.84;4
02-09-2023;28,5;71;;7,4;1;C ;-6.155559;106.84;4
03-09-2023;28,9;68;8888;4,7;1;C ;-6.155559;106.84;4
04-09-2023;28,3;62;0;5,5;1;C ;-6.155559;106.84;4
05-09-2023;28,4;63;;7,5;0;C ;-6.155559;106.84;4
06-09-2023;28,7;65;0;8;0;C ;-6.155559;106.84;4
07-09-2023;28,7;70;0;9,2;1;C ;-6.155559;106.84;4
08-09-2023;29;74;0;9,3;1;C ;-6.155559;106.84;4
09-09-2023;29,3;72;;8;1;C ;-6.155559;106.84;4
10-09-2023;28,4;66;0;8;1;C ;-6.155559;106.84;4
11-09-2023;29,1;66;0;6,7;1;C ;-6.155559;106.84;4
12-09-2023;29,6;65;0;6;1;C ;-6.155559;106.84;4
13-09-2023;29,5;67;;8;0;C ;-6.155559;106.84;4
14-09-2023;29,2;64;;7;1;C ;-6.155559;106.84;4
15-09-2023;29,5;65;0;8,2;1;C ;-6.155559;106.84;4
16-09-2023;29,3;68;0;9;1;C ;-6.155559;106.84;4
17-09-2023;29,1;70;0;8;1;C ;-6.155559;106.84;4
18-09-2023;29;73;0;7,4;1;C ;-6.155559;106.84;4
19-09-2023;29,7;72;0;8,2;0;C ;-6.155559;106.84;4
20-09-2023;28,9;73;0;3;0;C ;-6.155559;106.84;4
21-09-2023;29,3;70;0;8;1;C ;-6.155559;106.84;4
22-09-2023;28,8;70;;7;1;C ;-6.155559;106.84;4
23-09-2023;28,9;66;0;8;1;C ;-6.155559;106.84;4
24-09-2023;28,7;72;0;3,6;1;C ;-6.155559;106.84;4
25-09-2023;29,3;66;;6;1;C ;-6.155559;106.84;4
26-09-2023;29,5;66;;9;0;C ;-6.155559;106.84;4
27-09-2023;29,8;58;0;9;1;C ;-6.155559;106.84;4
28-09-2023;30;58;0;9,8;1;C ;-6.155559;106.84;4
29-09-2023;30,4;59;0;9,5;1;C ;-6.155559;106.84;4
30-09-2023;29,1;70;;9,2;1;C ;-6.155559;106.84;4
01-10-2023;28,9;72;0;8;1;C ;-6.155559;106.84;4
02-10-2023;29,2;70;0;4,3;1;C ;-6.155559;106.84;4
03-10-2023;29,2;67;0;4,8;2;C ;-6.155559;106.84;4
04-10-2023;29;74;;8;1;C ;-6.155559;106.84;4
05-10-2023;29,8;74;0;8;0;C ;-6.155559;106.84;4
06-10-2023;29,3;76;;8,5;1;C ;-6.155559;106.84;4
07-10-2023;29,6;74;0;4,4;1;C ;-6.155559;106.84;4
08-10-2023;29,7;73;;4,9;1;C ;-6.155559;106.84;4
09-10-2023;30,1;72;0;7,5;1;C ;-6.155559;106.84;4
10-10-2023;30,7;65;0;8;1;C ;-6.155559;106.84;4
11-10-2023;30,1;72;;7;1;C ;-6.155559;106.84;4
12-10-2023;30,2;74;0;6,2;1;C ;-6.155559;106.84;4
13-10-2023;30,1;74;0;7,6;2;C ;-6.155559;106.84;4
14-10-2023;30,3;65;0;7;2;C ;-6.155559;106.84;4
15-10-2023;30,8;61;;6;1;C ;-6.155559;106.84;4
16-10-2023;30,1;69;0;5,7;1;C ;-6.155559;106.84;4
17-10-2023;31,8;60;0;8;2;C ;-6.155559;106.84;4
18-10-2023;30,3;62;0;7,6;2;C ;-6.155559;106.84;4
19-10-2023;30,7;66;;7,5;1;C ;-6.155559;106.84;4
20-10-2023;29,9;73;;6,4;2;C ;-6.155559;106.84;4
21-10-2023;30,2;71;0;7,2;1;C ;-6.155559;106.84;4
22-10-2023;30,4;65;;8;1;C ;-6.155559;106.84;4
23-10-2023;;;;;;;-6.155559;106.84;4
24-10-2023;29,4;72;;8;1;C ;-6.155559;106.84;4
25-10-2023;29,5;72;8888;2;1;C ;-6.155559;106.84;4
26-10-2023;30,1;72;0;4,4;1;C ;-6.155559;106.84;4
27-10-2023;30,1;72;0;7;0;C ;-6.155559;106.84;4
28-10-2023;30,3;68;;7;1;C ;-6.155559;106.84;4
29-10-2023;29,8;69;0;8;1;C ;-6.155559;106.84;4
30-10-2023;30,7;67;0;7,8;1;C ;-6.155559;106.84;4
31-10-2023;29,8;74;;6,5;1;C ;-6.155559;106.84;4
01-11-2023;29,8;72;8;4,3;1;C ;-6.155559;106.84;4
02-11-2023;30,3;71;0;3,5;1;C ;-6.155559;106.84;4
03-11-2023;30,2;70;0;4;1;C ;-6.155559;106.84;4
04-11-2023;28,2;80;;4,2;1;C ;-6.155559;106.84;4
05-11-2023;28,7;80;28;1,5;1;C ;-6.155559;106.84;4
06-11-2023;30,1;75;0;0,6;0;C ;-6.155559;106.84;4
07-11-2023;30,4;71;0;5,2;2;C ;-6.155559;106.84;4
08-11-2023;30,4;72;;3,2;1;C ;-6.155559;106.84;4
09-11-2023;30;72;0;0;1;C ;-6.155559;106.84;4
10-11-2023;29,2;79;0;0;1;C ;-6.155559;106.84;4
11-11-2023;29,3;76;4,5;0;1;C ;-6.155559;106.84;4
12-11-2023;30,1;71;0;0;1;C ;-6.155559;106.84;4
13-11-2023;31,2;67;;0;1;C ;-6.155559;106.84;4
14-11-2023;29,7;76;8888;8;1;C ;-6.155559;106.84;4
15-11-2023;29,6;74;39;0;1;C ;-6.155559;106.84;4
16-11-2023;29,7;74;;4,2;2;C ;-6.155559;106.84;4
17-11-2023;29,8;75;11;7,6;1;C ;-6.155559;106.84;4
18-11-2023;29,2;76;0,4;6,2;1;C ;-6.155559;106.84;4
19-11-2023;29,6;78;1;6;1;C ;-6.155559;106.84;4
20-11-2023;30,4;69;4;7,8;1;C ;-6.155559;106.84;4
21-11-2023;30,2;72;0;6,3;2;C ;-6.155559;106.84;4
22-11-2023;30;73;15;6,8;2;C ;-6.155559;106.84;4
23-11-2023;29,2;78;3,1;3;1;C ;-6.155559;106.84;4
24-11-2023;28,6;82;0;0;1;C ;-6.155559;106.84;4
25-11-2023;26,1;89;3,5;1;0;C ;-6.155559;106.84;4
26-11-2023;29,1;75;18,1;0;1;C ;-6.155559;106.84;4
27-11-2023;28,2;78;;5,2;1;C ;-6.155559;106.84;4
28-11-2023;29,5;73;;0;0;C ;-6.155559;106.84;4
29-11-2023;29,8;76;2,5;;0;C ;-6.155559;106.84;4
30-11-2023;28,3;80;18,1;6,2;1;C ;-6.155559;106.84;4
01-12-2023;26,9;87;3;2,3;0;C ;-6.155559;106.84;4
02-12-2023;29,4;74;1,1;0;1;C ;-6.155559;106.84;4
03-12-2023;28,6;78;;6,1;1;C ;-6.155559;106.84;4
04-12-2023;26,7;86;2,3;1,7;0;C ;-6.155559;106.84;4
05-12-2023;29,4;74;1,4;0;1;C ;-6.155559;106.84;4
06-12-2023;29,4;74;;6,5;1;C ;-6.155559;106.84;4
07-12-2023;29,2;79;0;6,7;1;C ;-6.155559;106.84;4
08-12-2023;29,4;76;0;0,6;1;C ;-6.155559;106.84;4
09-12-2023;29,1;76;0;3,6;1;C ;-6.155559;106.84;4
10-12-2023;29,2;77;0;1;1;C ;-6.155559;106.84;4
11-12-2023;30;72;0;0;2;C ;-6.155559;106.84;4
12-12-2023;29,7;71;0;7;1;C ;-6.155559;106.84;4
13-12-2023;30,1;70;0;3,8;2;C ;-6.155559;106.84;4
14-12-2023;30,6;69;0;6,8;2;C ;-6.155559;106.84;4
15-12-2023;30,4;65;;7,6;1;C ;-6.155559;106.84;4
16-12-2023;30,3;64;0;5,2;2;C ;-6.155559;106.84;4
17-12-2023;30,6;65;0;7,7;2;W ;-6.155559;106.84;4
18-12-2023;30,7;66;0;7,8;1;C ;-6.155559;106.84;4
19-12-2023;30,3;62;;7,5;2;C ;-6.155559;106.84;4
20-12-2023;30,3;56;;;1;C ;-6.155559;106.84;4
21-12-2023;29,9;62;0;8;2;C ;-6.155559;106.84;4
22-12-2023;30,1;65;;7;1;C ;-6.155559;106.84;4
23-12-2023;31;65;;1,8;1;C ;-6.155559;106.84;4
24-12-2023;30,6;70;0;6,6;1;C ;-6.155559;106.84;4
25-12-2023;28,3;80;0;5,3;1;C ;-6.155559;106.84;4
26-12-2023;28,4;80;36;2;1;C ;-6.155559;106.84;4
27-12-2023;28,7;80;0;0;1;C ;-6.155559;106.84;4
28-12-2023;29,9;76;2,5;3,8;1;C ;-6.155559;106.84;4
29-12-2023;29,3;79;;;1;C ;-6.155559;106.84;4
30-12-2023;29,2;79;2;4;1;C ;-6.155559;106.84;4
31-12-2023;28,3;80;0;2,4;1;C ;-6.155559;106.84;4
01-01-2024;29,6;77;1,8;5,6;1;C ;-6.155559;106.84;4
02-01-2024;29,7;78;0;0,7;1;C ;-6.155559;106.84;4
03-01-2024;28;84;2,5;0;1;C ;-6.155559;106.84;4
04-01-2024;27,1;87;8,5;0;0;C ;-6.155559;106.84;4
05-01-2024;28,1;80;30,8;0;1;C ;-6.155559;106.84;4
06-01-2024;27,8;83;1;4;1;C ;-6.155559;106.84;4
07-01-2024;28,1;80;1,3;3,7;1;C ;-6.155559;106.84;4
08-01-2024;28,3;79;;4,2;1;C ;-6.155559;106.84;4
09-01-2024;29,2;76;;0;2;C ;-6.155559;106.84;4
10-01-2024;29,2;76;;6;2;C ;-6.155559;106.84;4
11-01-2024;27,3;87;0;3,8;1;C ;-6.155559;106.84;4
12-01-2024;28,6;75;42;0,8;2;C ;-6.155559;106.84;4
13-01-2024;28,4;80;0;3;1;C ;-6.155559;106.84;4
14-01-2024;29,5;76;2,4;0,4;2;C ;-6.155559;106.84;4
15-01-2024;29,4;74;;3,9;2;NW;-6.155559;106.84;4
16-01-2024;30,2;69;0;3,2;2;W ;-6.155559;106.84;4
17-01-2024;28,4;80;;5,6;1;C ;-6.155559;106.84;4
18-01-2024;28,2;79;1,5;1;2;W ;-6.155559;106.84;4
19-01-2024;26,4;85;7,7;1;2;W ;-6.155559;106.84;4
20-01-2024;30,5;64;11;0;2;C ;-6.155559;106.84;4
21-01-2024;28,8;76;;8;2;SW;-6.155559;106.84;4
22-01-2024;30,4;66;7;5,4;3;W ;-6.155559;106.84;4
23-01-2024;30,1;68;;5,8;1;C ;-6.155559;106.84;4
24-01-2024;30,2;67;;2,7;2;C ;-6.155559;106.84;4
25-01-2024;30,1;72;0;5,7;1;C ;-6.155559;106.84;4
26-01-2024;29,1;78;0;6,7;3;NW;-6.155559;106.84;4
27-01-2024;26,3;90;14;2,5;0;C ;-6.155559;106.84;4
28-01-2024;27,4;85;28;0;1;C ;-6.155559;106.84;4
29-01-2024;27,2;88;24;1,2;1;C ;-6.155559;106.84;4
30-01-2024;26,9;88;17,6;0,8;1;C ;-6.155559;106.84;4
31-01-2024;27,9;81;110,5;0,7;1;C ;-6.155559;106.84;4
01-02-2024;27,8;83;8888;2,2;1;C ;-6.155559;106.84;4
02-02-2024;28,2;81;20,1;3,1;1;C ;-6.155559;106.84;4
03-02-2024;28,1;79;20,3;3,2;2;W ;-6.155559;106.84;4
04-02-2024;28;81;;0,8;1;C ;-6.155559;106.84;4
05-02-2024;27,9;84;14;2,4;1;C ;-6.155559;106.84;4
06-02-2024;26,4;86;6,8;3,4;1;C ;-6.155559;106.84;4
07-02-2024;28,9;75;14,8;3,5;1;C ;-6.155559;106.84;4
08-02-2024;29,3;76;;5;2;C ;-6.155559;106.84;4
09-02-2024;29;79;;8,5;2;NW;-6.155559;106.84;4
10-02-2024;28,6;79;102;4,2;1;C ;-6.155559;106.84;4
11-02-2024;28,8;78;0;5,2;2;NW;-6.155559;106.84;4
12-02-2024;28,6;81;5,8;7,6;2;C ;-6.155559;106.84;4
13-02-2024;28,6;80;3;5;2;C ;-6.155559;106.84;4
14-02-2024;27,6;85;140,9;6,8;0;C ;-6.155559;106.84;4
15-02-2024;28,5;85;3;2,1;1;C ;-6.155559;106.84;4
16-02-2024;28,1;85;7,5;0,8;2;C ;-6.155559;106.84;4
17-02-2024;28,3;82;18,4;0,2;1;C ;-6.155559;106.84;4
18-02-2024;28,6;80;0;3;2;C ;-6.155559;106.84;4
19-02-2024;29,5;78;0;2,7;2;C ;-6.155559;106.84;4
20-02-2024;29,8;78;;5,2;2;C ;-6.155559;106.84;4
21-02-2024;29,5;77;0,2;7,2;1;C ;-6.155559;106.84;4
22-02-2024;30,6;74;0;0,3;3;C ;-6.155559;106.84;4
23-02-2024;30,3;72;3,2;5,8;2;C ;-6.155559;106.84;4
24-02-2024;28,9;80;;2,4;3;C ;-6.155559;106.84;4
25-02-2024;28,4;81;5,7;3,8;2;C ;-6.155559;106.84;4
26-02-2024;28,7;79;20,8;1,7;0;C ;-6.155559;106.84;4
27-02-2024;29,1;78;0;2,5;1;C ;-6.155559;106.84;4
28-02-2024;27,6;88;38,5;5,2;1;C ;-6.155559;106.84;4
29-02-2024;26,1;92;75,5;0,3;0;C ;-6.155559;106.84;4
01-03-2024;29,1;77;10;0;2;C ;-6.155559;106.84;4
02-03-2024;27,7;86;;5,2;1;NW;-6.155559;106.84;4
03-03-2024;27,7;86;17,7;0;2;C ;-6.155559;106.84;4
04-03-2024;29,2;74;6,8;0,2;2;C ;-6.155559;106.84;4
05-03-2024;30,2;71;1;1;2;C ;-6.155559;106.84;4
06-03-2024;29,6;75;8888;2,4;2;C ;-6.155559;106.84;4
07-03-2024;29,7;74;4;1,2;1;C ;-6.155559;106.84;4
08-03-2024;29,2;75;0;4,6;1;C ;-6.155559;106.84;4
09-03-2024;;94;4,2;0,5;0;C ;-6.155559;106.84;4
10-03-2024;27,9;86;47,7;0;1;C ;-6.155559;106.84;4
11-03-2024;27,9;86;10,4;0,2;1;C ;-6.155559;106.84;4
12-03-2024;28,8;79;16;0;1;C ;-6.155559;106.84;4
13-03-2024;28,2;84;4,3;3;2;C ;-6.155559;106.84;4
14-03-2024;27,2;86;24;1,2;1;C ;-6.155559;106.84;4
15-03-2024;27,4;83;31,8;0;1;C ;-6.155559;106.84;4
16-03-2024;26;91;6,5;0;1;C ;-6.155559;106.84;4
17-03-2024;27;85;19;1;2;W ;-6.155559;106.84;4
18-03-2024;29;77;21,7;2,1;2;C ;-6.155559;106.84;4
19-03-2024;30,2;65;0,3;5;1;C ;-6.155559;106.84;4
20-03-2024;30,4;63;;9,9;3;W ;-6.155559;106.84;4
